Date,Open,High,Low,Close,Volume,Adj Close
1992-12-25,357.56,357.56,357.56,357.56,000,256.24
1992-12-24,357.56,357.56,357.56,357.56,000,256.24
1992-12-23,356.49,356.49,356.49,356.49,000,255.47
1992-12-22,355.64,355.64,355.64,355.64,000,254.86
1992-12-21,359.33,359.33,359.33,359.33,000,257.50
1992-12-18,357.89,357.89,357.89,357.89,000,256.47
1992-12-17,356.84,356.84,356.84,356.84,000,255.72
1992-12-16,348.95,348.95,348.95,348.95,000,250.07
1992-12-15,346.94,346.94,346.94,346.94,000,248.63
1992-12-14,349.40,349.40,349.40,349.40,000,250.39
1992-12-11,350.89,350.89,350.89,350.89,000,251.46
1992-12-10,354.55,354.55,354.55,354.55,000,254.08
1992-12-09,357.81,357.81,357.81,357.81,000,256.42
1992-12-08,360.57,360.57,360.57,360.57,000,258.39
1992-12-07,361.83,361.83,361.83,361.83,000,259.30
1992-12-04,358.40,358.40,358.40,358.40,000,256.84
1992-12-03,354.79,354.79,354.79,354.79,000,254.25
1992-12-02,351.57,351.57,351.57,351.57,000,251.94
1992-12-01,352.67,352.67,352.67,352.67,000,252.73
1992-11-30,350.96,350.96,350.96,350.96,000,251.51
1992-11-27,349.31,349.31,349.31,349.31,000,250.32
1992-11-26,349.66,349.66,349.66,349.66,000,250.57
1992-11-25,349.66,349.66,349.66,349.66,000,250.57
1992-11-24,349.97,349.97,349.97,349.97,000,250.80
1992-11-23,343.44,343.44,343.44,343.44,000,246.12
1992-11-20,348.80,348.80,348.80,348.80,000,249.96
1992-11-19,346.75,346.75,346.75,346.75,000,248.49
1992-11-18,344.31,344.31,344.31,344.31,000,246.74
1992-11-17,338.23,338.23,338.23,338.23,000,242.38
1992-11-16,344.63,344.63,344.63,344.63,000,246.97
1992-11-13,348.49,348.49,348.49,348.49,000,249.74
1992-11-12,346.80,346.80,346.80,346.80,000,248.53
1992-11-11,347.85,347.85,347.85,347.85,000,249.28
1992-11-10,344.39,344.39,344.39,344.39,000,246.80
1992-11-09,340.58,340.58,340.58,340.58,000,244.07
1992-11-06,338.14,338.14,338.14,338.14,000,242.32
1992-11-05,336.49,336.49,336.49,336.49,000,241.14
1992-11-04,327.76,327.76,327.76,327.76,000,234.88
1992-11-03,325.96,325.96,325.96,325.96,000,233.59
1992-11-02,330.33,330.33,330.33,330.33,000,236.72
1992-10-30,329.15,329.15,329.15,329.15,000,235.88
1992-10-29,331.09,331.09,331.09,331.09,000,237.27
